,Segments,Profiles,Chords,Twist
0,4.5,42,6.4681053616855815,20.0
1,9.5,46,6.827444548445891,18.115021007021344
2,14.5,4,7.186783735206202,13.107502072547652
3,19.5,24,6.667651261152372,11.90594155904387
4,24.5,12,5.889140945514006,8.798333850536006
5,29.5,36,5.034446584692779,5.5283291928137075
6,34.5,26,4.367213362521355,2.93164965858716
7,39.5,48,3.9854638905743798,1.39535077166639
8,44.5,13,3.8103637672736745,0.7831611607252889
9,49.5,34,3.674714810349938,0.4007273622181824
10,54.5,33,3.569654383693175,0.18813476872311696
11,59.5,3,3.687747237860363,0.7082098726345674
12,64.5,11,3.627620350824621,0.7137894821357174
13,69.5,45,3.3352377698701363,0.16925960794365214
14,74.5,15,3.0079974035607795,-0.37114741113064653
15,79.5,23,2.54549552927953,-1.027066375715762
16,84.5,38,1.2450838698319782,-2.743667279400529
