,5m/s,10m/s,20m/s
0,-61.645168844825434,4287.16058906962,7009.266923023048
1,2014.0007944599347,30001.755911246823,53698.6543654167
2,5542.518716839075,64800.325244236345,142016.21646354801
3,9593.329562835244,91013.73135668138,228166.41932474024
4,11941.351841096468,114686.05474242562,277957.2799445464
5,12713.702217263528,136998.89661094974,290888.25792509946
6,12540.094145207939,159003.89902099024,290225.5772174236
7,11988.350808199053,180694.20033485023,312886.85605380003
8,11323.168374649686,202076.3135658091,366782.8497716668
9,10442.682784539214,223144.78590406704,486730.5683258143
10,10401.139445696359,243735.605124192,707552.6746890337
11,10548.727237687519,263203.8969620971,930431.1517130032
12,8415.58109771995,279438.83163133985,1072775.4402056013
13,4747.560244079034,287695.00828816905,1174938.7900906994
14,2393.685135691456,275421.7698911412,1199857.629206631
15,2408.601751732642,181829.72777671195,866942.2809604995
